training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
14.183722,-0.99172604,-9.30373,0.4880556,1.0,2.623317,0.0,-20.6239,-24.40903,2.9556909,-4.4174542,103.23426,-3.1863127,-19.937439,-23.645533,0.079139575,0.010532911205291748,52.664559841156006,5000
62.45557,-0.713744,-8.661972,0.32761598,1.0,2.2568383,-5.1952257,-31.91341,-41.745502,3.0291808,-3.4338355,123.96138,-1.8116612,-31.089687,-41.16733,0.13100465,0.0012374430656433106,58.85177969932556,10000
56.57154,-0.7306888,-8.376843,0.25633377,1.0,3.9270673,0.0,-37.79167,-54.96077,3.4942822,-3.1132715,128.8198,0.42083755,-37.149925,-54.410164,0.13879317,0.0012448014736175536,65.07579302787781,15000
67.926285,-0.6764836,-8.173728,0.20555493,1.0,3.3430576,0.0,-41.796997,-65.42174,2.3980896,-4.3347373,141.79005,-0.17233536,-41.3825,-64.829285,0.17035535,0.0012612216472625733,71.38190770149231,20000
97.19746,-0.68614364,-8.084782,0.18331838,1.0,4.7431536,0.0,-41.279705,-76.711,3.2724512,-3.6717508,146.68748,-1.4566834,-40.762314,-76.64084,0.1887976,0.0012789538860321044,77.77668023109436,25000
56.489254,-0.71983445,-8.044571,0.17326574,1.0,3.0474849,0.0,-44.764923,-90.969246,5.2859116,-5.5680966,131.62021,-0.17688549,-44.263042,-90.89203,0.15182005,0.0012849557399749756,84.20146441459656,30000
141.47772,-0.37514424,-7.959711,0.15205082,1.0,2.2307165,0.0,-48.79225,-99.89515,7.3314013,-3.5795195,168.32909,1.4563819,-48.40507,-99.84709,0.110684946,0.0012621835231781005,90.51238536834717,35000
59.813164,-0.97780025,-8.022579,0.16776794,1.0,4.732706,0.0,-46.057373,-108.89096,6.068743,-7.1137815,201.90929,0.29543778,-45.645733,-109.08727,0.22772428,0.0012601028442382812,96.81290316581726,40000
46.46372,-0.8481092,-8.033838,0.17058265,1.0,3.7242799,0.0,-45.27386,-114.24332,3.3746026,-3.2912498,153.05772,-0.92735916,-44.796986,-114.15281,0.2227714,0.0012807677745819092,103.21674656867981,45000
48.724144,-1.00093,-8.033772,0.17056614,1.0,5.7654634,3.1227813,-48.62709,-98.74666,21.861235,-15.706545,326.11047,4.1715407,-48.118538,-98.89544,0.41182125,0.0012430893898010254,109.43219757080078,50000
161.10428,-0.34269702,-8.151466,0.19998954,1.0,3.0611959,0.0,-48.336914,-116.31166,3.0902803,-4.542291,186.93027,0.73700994,-47.896378,-116.6505,0.23104973,0.0013275059223175048,116.06973361968994,55000
115.886475,-0.5027314,-8.068045,0.17913425,1.0,2.4735694,0.0,-46.19593,-106.15958,4.168924,-5.138813,179.17763,1.1407015,-45.79815,-106.58557,0.44316828,0.0013447385311126708,122.79343008995056,60000
200.09482,-0.2454108,-7.9663305,0.15370554,1.0,3.0060368,0.0,-49.85991,-95.12083,3.6247625,-3.346408,184.17953,-3.174739,-49.689796,-95.06916,0.1603898,0.0013176067352294921,129.38146781921387,65000
37.04142,-0.78379077,-8.038511,0.1717509,1.0,2.506631,0.0,-44.215702,-97.04914,3.316429,-6.330724,129.13757,0.5134724,-43.83423,-96.78584,0.179221,0.0012999220848083496,135.8810818195343,70000
76.463875,-0.7560313,-7.956061,0.15113822,1.0,4.983325,0.0,-49.943012,-96.548355,27.676113,-39.919315,287.2173,-0.95290214,-49.519493,-96.50585,0.19958971,0.0013011317729949951,142.3867437839508,75000
60.642815,-0.7129278,-8.038456,0.17173687,1.0,2.7165127,0.0,-48.120228,-94.284164,3.5664387,-2.8892658,126.62558,0.1605782,-47.679153,-94.22702,0.28961986,0.0013065255641937256,148.91937613487244,80000
94.294044,-0.60806865,-8.012602,0.16527338,1.0,1.9032984,0.0,-47.238106,-95.65564,3.2018309,-4.3010845,129.99483,0.13080573,-46.758545,-95.625305,0.21741448,0.0013053785800933838,155.44627261161804,85000
84.10141,-0.51871485,-7.9527197,0.15030286,1.0,6.66473,0.0,-48.317387,-96.744026,18.602833,-11.927875,330.841,0.14697987,-47.888264,-96.61999,0.41231143,0.0012912836551666259,161.90269422531128,90000
70.788864,-0.7968745,-7.9916573,0.16003731,1.0,3.4989288,0.0,-49.348717,-95.999756,4.3336987,-6.217824,170.41946,0.2522498,-48.843086,-95.89817,0.3400305,0.0012331768035888672,168.06859016418457,95000
